,alpha_kmeans,delta_kmeans,u_width,g_kmeans,r_freq,i_kmeans,z_kmeans,redshift_width
39306,6,17,13,20,11,20,29,8
39307,15,1,5,6,1,7,12,1
39308,6,12,8,15,7,18,27,6
39309,6,10,10,16,6,15,23,6
39310,10,7,5,7,3,11,19,0
39311,10,4,10,16,6,15,22,5
39312,10,22,8,15,10,21,32,20
39313,0,1,2,2,0,4,9,0
39314,5,14,5,6,2,10,17,0
39315,4,12,9,20,10,19,26,8
39316,6,10,5,5,0,6,11,1
39317,11,5,7,9,2,8,13,2
39318,12,21,7,14,8,19,28,6
39319,14,10,10,15,6,15,23,5
39320,9,11,6,10,5,15,25,0
39321,6,10,5,6,1,8,13,1
39322,5,8,7,9,2,9,15,2
39323,14,5,10,20,12,26,40,5
39324,10,17,9,20,13,22,31,7
39325,15,6,7,13,8,19,30,5
39326,15,6,9,17,14,27,40,19
39327,15,4,8,21,13,22,30,8
39328,10,11,6,6,1,7,11,1
39329,14,7,11,14,5,14,21,4
39330,5,9,9,15,7,16,25,5
39331,4,20,10,20,12,21,29,0
39332,10,11,13,23,12,21,30,8
39333,4,7,9,14,5,14,21,4
39334,5,8,12,20,10,19,29,6
39335,4,9,12,25,14,22,30,0
39336,1,2,8,10,3,11,17,2
39337,13,6,5,7,3,12,19,0
39338,14,5,6,7,1,8,12,0
39339,10,15,13,25,14,23,31,16
39340,8,6,11,16,12,20,45,4
39341,9,6,12,17,9,19,31,6
39342,9,6,11,21,10,20,29,7
39343,10,6,9,11,3,11,17,3
39344,4,17,10,20,12,21,30,8
39345,14,14,9,12,4,13,19,4
39346,15,12,13,20,12,21,30,7
39347,14,5,13,20,14,26,36,10
39348,14,5,12,22,14,27,41,13
39349,14,5,9,20,14,26,35,11
39350,14,5,12,22,13,22,31,10
39351,9,23,11,17,10,22,36,0
39352,6,25,6,8,3,11,17,1
39353,14,12,11,13,5,13,20,3
39354,6,12,10,13,4,13,20,4
39355,6,9,12,20,11,20,30,8
39356,6,9,6,7,1,7,12,2
39357,0,1,5,5,1,8,15,0
39358,1,1,4,6,2,10,18,0
39359,10,17,9,11,3,12,18,3
39360,8,18,10,14,5,14,20,4
39361,15,4,12,21,14,26,34,9
39362,5,15,9,22,11,20,28,8
39363,15,13,11,16,9,19,30,3
39364,5,17,5,7,2,11,18,0
39365,9,14,6,6,1,7,11,0
39366,11,14,10,19,10,19,28,6
39367,10,18,5,7,1,8,13,1
39368,11,11,4,5,1,9,16,0
39369,4,10,5,6,3,12,20,0
39370,4,11,5,6,2,10,17,0
39371,14,9,12,22,11,20,29,7
39372,1,6,8,16,12,25,39,19
39373,2,5,5,7,2,10,17,0
39374,11,17,4,3,1,8,15,0
39375,6,17,8,15,11,23,33,9
39376,6,17,8,15,12,26,46,0
39377,1,10,10,12,4,12,19,3
39378,7,25,8,13,4,13,20,3
39379,2,5,9,14,6,16,24,2
39380,2,5,9,17,7,17,25,6
39381,11,14,12,21,11,20,29,7
39382,11,14,10,14,5,14,22,4
39383,11,11,12,25,11,19,29,8
39384,0,1,6,8,3,10,17,0
39385,15,1,7,8,1,8,13,2
39386,15,5,9,20,14,28,41,14
39387,11,10,10,13,4,13,20,4
39388,10,10,9,14,5,14,22,5
39389,9,19,9,18,13,28,40,7
39390,15,15,10,22,11,19,28,7
39391,7,24,14,18,8,18,25,6
39392,7,24,12,16,8,18,27,6
39393,7,24,10,18,10,19,28,6
39394,10,16,8,15,6,16,24,6
39395,6,21,9,15,7,17,25,6
39396,14,5,10,14,5,14,21,4
39397,13,5,7,9,3,11,17,1
39398,14,5,6,8,2,10,16,0
39399,14,5,11,19,11,19,27,8
39400,9,13,6,6,1,6,10,1
39401,1,3,9,17,11,23,33,8
39402,1,2,14,17,8,18,27,5
39403,15,1,9,12,4,12,19,3
39404,10,11,6,8,3,10,17,1
39405,5,11,12,16,6,16,23,5
39406,6,12,9,19,13,25,35,17
39407,6,13,8,19,13,24,37,10
39408,10,4,7,9,3,10,16,1
39409,10,4,7,12,6,18,29,2
39410,4,9,8,14,7,19,26,0
39411,10,11,12,17,10,19,28,6
39412,10,11,5,5,1,7,12,0
39413,14,6,12,18,8,17,25,6
39414,14,6,13,16,6,15,23,4
39415,15,8,5,9,4,14,23,31
39416,10,18,12,21,14,27,31,9
39417,11,17,12,17,8,14,17,0
39418,0,12,8,13,5,14,21,4
39419,10,14,12,20,12,21,32,0
39420,10,4,7,11,6,18,28,29
39421,1,5,10,18,14,29,44,1
39422,2,5,10,18,13,27,38,26
39423,13,5,10,18,14,28,40,27
39424,4,13,13,19,10,18,27,8
39425,6,10,8,10,3,10,16,3
39426,15,6,8,16,12,24,34,22
39427,15,6,8,15,12,24,35,22
39428,15,11,9,19,14,23,31,9
39429,11,10,4,2,0,2,4,1
39430,10,10,10,16,7,17,25,6
39431,9,19,7,18,11,25,35,11
39432,10,18,11,16,8,18,26,8
39433,14,6,8,16,14,28,42,0
39434,0,1,8,15,7,18,25,2
39435,0,2,8,14,9,22,33,0
39436,15,5,10,21,14,28,40,9
39437,14,5,12,20,14,25,35,10
39438,4,14,6,7,2,10,16,0
39439,4,14,6,9,4,14,23,0
39440,9,4,6,7,2,10,16,1
39441,4,11,13,18,8,18,26,7
39442,5,12,9,15,7,17,26,6
39443,5,12,11,15,6,15,23,6
39444,9,14,13,14,5,14,21,5
39445,2,13,5,7,2,11,18,0
39446,2,13,5,7,2,10,18,0
39447,11,14,11,19,10,19,27,6
39448,14,5,12,19,14,25,35,9
39449,14,5,11,17,8,18,26,6
39450,15,5,8,11,3,11,17,3
39451,7,19,7,9,3,11,18,2
39452,1,4,12,22,14,28,39,10
39453,6,12,13,19,9,18,25,7
39454,2,5,11,18,7,17,24,5
39455,9,6,9,15,5,15,22,5
39456,10,6,11,20,9,19,27,5
39457,13,8,6,7,2,10,17,0
39458,8,15,8,10,3,9,13,0
39459,10,6,5,8,2,10,16,1
39460,1,2,9,15,6,15,22,6
39461,0,1,5,7,3,11,19,0
39462,14,6,7,14,7,19,30,5
39463,4,17,10,16,12,24,36,16
39464,12,16,6,7,2,11,18,0
39465,14,5,13,17,14,21,34,10
39466,15,13,5,5,0,6,10,1
39467,15,13,10,14,5,14,22,4
39468,4,17,6,8,3,12,20,0
39469,5,18,10,12,5,14,22,0
39470,5,6,7,11,5,17,27,0
39471,7,15,9,16,8,18,27,7
39472,9,14,13,15,8,18,25,6
39473,10,13,13,19,10,20,29,5
39474,1,8,8,15,11,23,33,19
39475,1,8,9,17,13,26,38,26
39476,14,13,12,18,8,17,24,7
39477,5,7,7,12,6,17,27,0
39478,7,15,10,18,12,21,29,4
39479,11,17,12,18,8,14,19,0
39480,0,14,10,18,13,30,44,0
39481,1,4,13,17,10,19,30,8
39482,1,4,9,20,14,29,38,12
39483,5,9,11,21,11,20,30,6
39484,5,8,11,19,10,18,27,6
39485,6,10,12,16,6,16,23,5
39486,10,4,7,10,3,11,16,3
39487,11,10,10,17,7,17,24,5
39488,10,11,4,3,0,2,4,1
39489,11,10,7,9,3,11,17,2
39490,8,20,8,14,9,23,33,32
39491,9,6,13,14,5,14,21,5
39492,2,5,10,16,6,16,23,5
39493,1,5,11,15,7,15,21,0
39494,10,6,8,10,2,9,14,3
39495,10,6,12,13,4,13,20,5
39496,14,10,10,17,7,16,24,5
39497,0,1,6,7,1,9,14,1
39498,8,16,13,19,13,26,38,20
39499,14,5,9,21,14,27,42,11
39500,5,14,10,22,12,19,28,7
39501,5,9,8,10,3,10,16,2
39502,1,2,11,22,12,20,29,8
39503,6,23,8,15,11,24,35,27
39504,4,17,8,10,3,10,16,2
39505,4,18,10,19,9,19,27,5
39506,8,22,6,8,2,10,16,1
39507,10,16,9,22,13,22,30,9
39508,10,16,7,9,2,9,15,2
39509,10,15,9,14,5,15,23,4
39510,6,22,5,10,5,15,24,6
39511,4,16,4,2,0,3,7,0
39512,14,14,9,14,4,13,20,4
39513,11,14,12,17,12,25,35,0
39514,11,14,5,10,4,14,24,17
39515,7,4,9,16,9,19,26,8
39516,0,4,9,22,14,28,37,8
39517,13,4,8,15,11,24,37,16
39518,1,15,9,17,13,27,45,0
39519,10,16,8,14,6,17,27,5
39520,2,15,6,6,1,9,15,0
39521,5,6,3,1,1,3,6,0
39522,8,19,14,19,9,17,24,8
39523,1,6,8,17,12,25,39,16
39524,6,9,12,14,5,14,21,5
39525,14,5,12,21,12,21,31,7
39526,14,5,8,10,3,10,15,2
39527,14,5,10,20,11,21,29,6
39528,0,7,9,20,13,22,30,7
39529,6,24,10,15,5,14,21,4
39530,4,14,7,8,1,7,12,0
39531,6,23,10,15,6,16,25,0
39532,8,15,6,11,6,18,28,24
39533,9,15,6,12,8,20,32,22
39534,9,6,11,15,5,15,22,4
39535,10,11,10,14,5,14,22,4
39536,1,4,9,17,12,22,32,9
39537,15,13,11,24,14,24,31,0
39538,2,4,14,19,9,18,27,6
39539,10,11,5,7,3,11,18,1
39540,0,7,8,16,10,20,28,9
39541,1,7,9,13,4,13,20,4
39542,9,6,13,15,6,15,23,5
39543,10,5,7,9,2,9,15,2
39544,10,5,8,15,5,15,22,4
39545,5,15,6,8,2,10,15,1
39546,11,15,13,16,7,15,22,0
39547,5,14,11,24,11,20,29,7
39548,15,10,8,16,14,26,42,1
39549,9,16,8,14,10,22,32,27
39550,5,18,8,16,12,25,39,19
39551,6,9,8,11,4,12,18,2
39552,6,9,9,17,8,17,25,6
39553,4,17,9,19,12,16,21,0
39554,14,8,13,18,8,18,26,6
39555,8,22,10,16,6,15,23,5
39556,8,22,6,8,2,10,16,1
39557,1,5,11,19,12,31,38,25
39558,14,7,12,18,8,17,26,5
39559,14,7,12,17,7,17,25,6
39560,6,10,10,20,14,27,41,9
39561,4,8,8,15,6,15,23,6
39562,14,13,8,13,7,19,29,0
39563,15,12,11,17,9,18,27,6
39564,6,19,9,16,12,23,37,1
39565,2,5,5,6,2,10,17,0
39566,5,18,10,16,8,18,26,6
39567,11,16,11,15,10,22,33,0
39568,0,1,8,15,10,20,29,0
39569,15,6,6,11,6,18,28,24
39570,9,17,11,22,11,20,30,6
39571,10,20,12,20,11,20,27,8
39572,0,3,11,20,13,25,37,8
39573,7,14,10,19,10,19,27,7
39574,14,5,10,24,14,23,31,7
39575,14,5,8,12,5,15,23,2
39576,14,5,14,23,12,21,28,8
39577,14,5,9,13,5,15,23,2
39578,15,5,10,23,13,22,31,10
39579,14,5,9,12,4,12,18,3
39580,14,5,9,20,14,27,35,9
39581,7,24,8,12,7,19,31,0
39582,6,9,11,16,7,16,23,0
39583,10,6,9,12,4,12,18,4
39584,10,6,12,19,10,19,28,6
39585,10,6,12,17,7,16,25,6
39586,11,14,15,16,7,16,23,6
39587,10,11,9,10,3,10,15,3
39588,11,10,10,15,6,15,23,4
39589,9,11,6,10,5,15,25,0
39590,9,6,9,14,5,14,20,5
39591,9,6,6,6,1,8,12,1
39592,1,1,5,6,1,8,13,1
39593,9,7,9,17,13,28,40,0
39594,6,22,5,9,5,16,26,8
39595,5,18,7,10,5,16,27,0
39596,1,5,9,19,14,28,39,27
39597,5,9,11,20,13,24,33,4
39598,4,18,12,15,7,17,26,3
39599,14,12,7,9,2,8,13,2
39600,15,13,14,19,11,20,28,6
39601,9,19,12,20,10,19,28,7
39602,10,16,11,19,9,18,26,7
39603,0,1,7,10,4,14,23,0
39604,15,6,8,16,11,24,35,17
39605,15,6,9,17,12,24,36,25
39606,15,6,6,10,5,16,25,0
39607,10,18,10,19,9,19,27,6
39608,14,13,10,17,8,18,27,5
39609,10,13,10,18,9,19,28,6
39610,10,11,6,7,2,10,16,1
39611,14,6,10,18,11,20,30,6
39612,13,6,12,19,10,19,29,6
39613,14,6,9,17,9,19,27,7
39614,2,12,7,11,5,16,26,0
39615,2,14,5,7,2,11,18,0
39616,4,8,10,16,7,16,24,5
39617,14,5,10,21,14,26,38,7
39618,14,5,8,16,11,24,34,11
39619,14,5,8,18,13,25,37,18
39620,14,5,11,15,6,17,26,0
39621,5,9,9,13,4,13,20,0
39622,6,9,9,18,5,14,30,4
39623,6,17,10,16,8,18,27,6
39624,4,18,9,18,9,19,28,5
39625,4,19,8,10,3,10,16,2
39626,4,21,12,20,11,19,28,6
39627,15,5,9,15,6,17,25,2
39628,2,15,8,13,5,16,25,0
39629,0,1,6,8,4,13,22,0
39630,0,1,8,13,6,19,30,0
39631,0,1,3,2,0,5,11,0
39632,10,16,9,13,4,13,20,3
39633,0,1,13,17,9,19,26,6
39634,9,4,8,13,8,21,32,33
39635,4,17,9,18,14,27,37,21
39636,6,12,10,20,14,26,35,9
39637,7,14,10,20,14,23,31,9
39638,14,5,10,20,14,26,38,10
39639,14,5,10,20,14,28,40,9
39640,8,20,9,16,13,26,39,22
39641,2,5,8,13,7,19,30,0
39642,2,5,12,17,9,16,22,0
39643,2,5,11,21,12,21,30,0
39644,14,8,9,20,11,20,30,7
39645,14,9,10,17,8,17,25,7
39646,5,8,11,19,9,19,26,6
39647,10,13,10,15,5,15,22,4
39648,11,10,9,17,7,17,24,5
39649,9,13,9,16,6,16,24,5
39650,4,11,9,14,7,19,29,0
39651,5,6,2,0,0,1,3,0
39652,13,4,8,18,14,28,41,0
39653,2,6,8,17,13,25,35,19
39654,10,14,11,15,5,14,21,5
39655,4,17,5,7,3,12,20,0
39656,4,17,8,14,9,22,34,29
39657,9,20,8,13,8,21,32,0
39658,2,6,5,5,1,7,13,0
39659,1,10,9,10,3,11,16,2
39660,1,10,9,17,8,17,25,6
39661,0,7,12,19,9,18,26,7
39662,2,5,12,14,5,14,21,3
39663,5,14,9,21,14,23,31,8
39664,9,18,12,20,12,21,28,10
39665,2,5,9,17,13,26,41,0
39666,5,10,10,16,8,19,26,6
39667,2,14,12,14,6,14,20,0
39668,10,15,9,20,14,23,31,0
39669,10,16,5,6,1,9,16,0
39670,11,16,8,15,10,23,39,14
39671,10,6,12,19,10,20,29,6
39672,8,6,7,9,2,9,14,2
39673,10,6,11,17,9,18,27,6
39674,14,5,13,22,14,29,42,0
39675,14,13,11,19,9,19,26,6
39676,2,4,13,20,13,22,30,9
39677,6,9,10,18,13,26,35,8
39678,6,9,9,11,3,11,18,3
39679,6,10,11,15,6,15,23,5
39680,7,22,9,22,11,18,28,8
39681,5,16,12,18,13,19,46,2
39682,15,1,7,8,2,9,14,2
39683,1,2,9,21,11,20,29,8
39684,0,1,11,17,8,18,28,6
39685,10,18,10,15,6,16,23,6
39686,9,11,11,13,5,17,27,0
39687,4,7,13,20,10,18,27,7
39688,4,7,6,7,1,8,13,2
39689,5,8,8,12,4,12,18,3
39690,6,9,11,17,9,17,26,6
39691,5,18,8,16,13,26,45,24
39692,10,8,13,14,2,7,15,0
39693,14,14,10,19,10,19,29,7
39694,15,12,11,17,6,16,24,5
39695,15,11,12,25,14,23,31,8
39696,2,5,10,16,7,15,21,0
39697,14,12,12,23,13,23,30,7
39698,4,21,11,19,14,27,34,14
39699,10,16,10,17,8,18,27,5
39700,9,14,10,18,10,20,28,7
39701,9,14,13,18,9,17,25,6
39702,10,16,10,17,7,17,25,5
39703,5,9,9,20,13,24,38,8
39704,14,5,12,22,14,26,33,10
39705,9,14,11,15,6,15,22,5
39706,9,13,5,5,1,7,13,0
39707,11,11,13,15,7,16,24,5
39708,14,6,11,22,11,19,27,7
39709,14,5,7,8,2,9,15,0
39710,14,5,6,9,4,14,23,0
39711,14,4,9,21,14,27,37,10
39712,2,4,5,4,0,6,11,0
39713,2,4,3,1,0,2,6,0
39714,10,18,9,16,7,17,25,5
39715,6,18,11,23,14,24,30,13
39716,7,19,13,19,10,19,27,8
39717,6,13,7,9,2,10,15,1
39718,0,6,10,17,10,19,29,7
39719,14,7,7,11,3,11,16,3
39720,5,12,6,8,2,10,16,2
39721,13,8,4,3,0,5,10,0
39722,9,5,12,18,9,19,27,6
39723,6,5,11,13,4,13,20,3
39724,1,10,9,20,13,26,39,2
39725,10,22,4,4,1,8,14,0
39726,9,15,7,12,6,19,29,11
39727,13,5,10,20,14,27,42,10
39728,14,5,9,19,14,28,44,13
39729,14,5,10,20,14,26,35,9
39730,13,5,6,7,2,9,14,1
39731,14,5,12,23,13,22,30,9
39732,15,5,12,18,7,16,24,7
39733,1,2,8,13,8,22,33,0
39734,2,4,11,23,14,33,39,11
39735,14,14,8,16,12,25,37,23
39736,2,4,13,20,10,19,28,6
39737,9,6,5,7,2,10,17,2
39738,0,10,13,24,14,25,31,0
39739,10,18,11,22,12,21,29,7
39740,10,17,9,19,9,18,27,5
39741,10,17,12,15,5,14,21,5
39742,9,11,6,11,6,18,28,9
39743,10,9,11,18,8,18,26,6
39744,4,8,12,13,5,14,25,0
39745,0,12,9,16,8,17,26,6
39746,0,6,10,22,14,28,38,9
39747,9,4,9,15,11,24,37,15
39748,14,13,7,15,11,23,33,22
39749,15,13,11,19,14,28,41,28
39750,10,17,12,14,5,15,22,4
39751,6,18,11,20,11,21,30,5
39752,14,7,10,19,10,19,26,7
39753,14,7,12,19,12,21,31,8
39754,6,10,12,17,7,16,24,7
39755,6,10,5,5,0,5,9,1
39756,10,22,8,15,11,25,35,26
39757,4,20,9,17,9,19,27,7
39758,4,18,11,18,10,19,28,7
39759,2,5,8,10,3,7,10,0
39760,11,14,10,17,13,28,43,0
39761,5,9,6,8,2,9,14,1
39762,5,21,7,13,7,20,31,16
39763,14,5,8,17,10,24,34,10
39764,15,13,9,22,14,22,30,8
39765,13,4,3,2,0,4,10,0
39766,2,7,8,13,6,18,27,0
39767,10,10,5,5,1,7,12,0
39768,14,13,10,21,14,23,29,12
39769,6,12,9,18,8,17,25,6
39770,6,13,11,16,7,16,25,5
39771,10,22,8,16,12,25,35,12
39772,4,7,3,3,0,6,12,0
39773,8,15,9,16,12,25,37,32
39774,8,15,7,12,8,21,32,30
39775,1,18,7,10,4,15,24,0
39776,10,6,8,13,4,13,19,5
39777,10,6,9,18,9,19,26,6
39778,10,6,9,14,5,14,21,3
39779,0,7,8,14,6,15,23,5
39780,0,7,10,14,5,14,22,3
39781,0,7,8,10,3,10,16,2
39782,15,8,8,13,8,20,30,30
39783,15,8,7,13,7,20,31,21
39784,11,13,14,15,6,15,22,5
39785,14,11,9,18,10,19,27,0
39786,10,13,9,18,9,18,28,7
39787,9,14,11,18,10,19,29,7
39788,14,6,9,19,8,17,25,6
39789,14,5,5,6,1,8,13,0
39790,14,5,6,8,3,11,17,1
39791,6,18,8,17,8,17,24,7
39792,14,10,8,17,9,18,25,8
39793,1,4,10,20,14,27,35,9
39794,10,18,12,16,6,15,22,6
39795,10,17,10,14,5,14,22,4
39796,4,7,6,8,3,11,17,1
39797,15,13,13,21,13,20,32,7
39798,15,13,11,22,14,24,31,10
39799,2,5,9,19,10,20,28,6
39800,2,5,12,18,8,19,27,5
39801,2,5,12,21,11,20,28,6
39802,2,5,2,0,0,1,4,0
39803,2,5,11,17,7,15,21,0
39804,14,5,9,21,14,29,36,10
39805,14,7,10,21,9,19,28,7
39806,5,8,8,16,11,20,29,8
39807,6,17,10,19,13,22,30,8
39808,0,1,5,6,1,9,15,0
39809,15,6,8,14,9,22,33,13
39810,0,5,10,20,14,25,42,21
39811,6,23,9,15,6,15,22,0
39812,10,17,10,16,8,18,27,5
39813,15,4,10,21,14,30,43,28
39814,9,15,4,5,1,9,17,0
39815,9,15,7,14,10,22,33,24
39816,10,11,11,21,10,18,25,8
39817,9,11,11,17,14,29,42,32
39818,9,11,6,8,3,12,20,0
39819,6,10,10,16,7,16,23,7
39820,9,14,10,19,10,19,29,6
39821,11,11,7,7,1,8,12,1
39822,10,8,9,18,12,28,44,0
39823,0,13,13,22,12,21,30,7
39824,1,2,13,16,7,17,24,6
39825,4,7,6,7,1,8,13,1
39826,6,10,6,7,2,9,14,1
39827,6,23,9,17,8,14,19,0
39828,4,17,10,19,10,20,29,5
39829,2,5,12,14,5,13,20,0
39830,2,5,6,8,3,12,19,0
39831,2,4,12,22,14,23,31,9
39832,1,4,9,18,13,25,37,9
39833,14,5,6,15,6,17,24,10
39834,15,10,5,8,4,14,23,15
39835,6,10,6,8,1,8,13,2
39836,6,10,11,20,14,28,35,9
39837,15,13,10,22,14,23,31,9
39838,10,7,6,9,4,14,23,0
39839,10,7,7,12,8,21,30,8
39840,6,22,8,15,8,20,29,4
39841,6,9,8,12,4,12,19,4
39842,5,8,11,20,11,19,27,7
39843,6,18,5,8,2,10,16,2
39844,7,14,7,9,2,10,15,1
39845,11,11,11,19,9,19,27,6
39846,0,3,9,17,12,25,33,12
39847,5,7,8,9,2,5,8,0
39848,10,9,5,7,3,11,19,0
39849,7,25,12,17,8,18,26,5
39850,2,5,8,12,5,16,27,0
39851,2,5,9,15,10,22,33,1
39852,13,4,8,18,14,28,37,25
39853,13,4,8,14,10,22,34,18
39854,14,13,7,12,7,20,31,21
39855,6,18,12,17,8,17,25,6
39856,15,5,12,20,13,26,34,11
39857,9,20,8,15,11,24,36,31
39858,4,11,8,16,13,26,38,24
39859,14,9,10,14,5,14,21,5
39860,14,10,11,22,14,23,30,7
39861,10,21,7,13,7,20,31,16
39862,5,9,12,17,7,16,25,6
39863,9,13,13,16,7,16,24,6
39864,6,10,9,19,10,18,26,7
39865,9,4,9,12,4,13,19,3
39866,4,17,8,12,5,16,26,0
39867,13,8,8,10,3,11,17,0
39868,0,1,6,7,1,8,14,1
39869,15,1,7,9,2,9,14,2
39870,1,4,9,19,13,24,35,9
39871,14,5,12,21,14,31,37,23
39872,14,5,10,20,14,25,39,9
39873,7,12,5,9,4,15,25,15
39874,7,12,5,7,2,10,16,1
39875,2,5,10,18,8,18,27,6
39876,13,5,9,18,14,28,36,25
39877,10,17,13,22,13,21,28,9
39878,9,11,9,16,13,28,40,0
39879,9,11,9,17,14,29,43,0
39880,5,8,11,19,8,17,25,6
39881,15,6,5,7,3,12,19,0
39882,10,4,13,15,8,20,30,0
39883,14,14,11,18,8,18,26,5
39884,2,5,5,5,1,6,12,0
39885,2,5,5,5,1,8,15,0
39886,2,5,8,11,3,10,16,0
39887,8,6,7,14,7,19,28,4
39888,10,6,9,14,5,15,22,4
39889,10,17,9,15,6,15,22,6
39890,0,1,5,6,2,11,19,0
39891,15,6,8,15,9,22,33,13
39892,15,6,9,18,14,28,39,20
39893,9,17,9,18,8,18,27,7
39894,14,5,9,24,14,29,42,9
39895,5,19,11,14,14,21,34,0
39896,8,18,8,15,7,18,27,6
39897,10,18,12,18,8,17,25,6
39898,11,9,5,5,1,8,13,0
39899,11,10,5,8,4,14,23,21
39900,5,21,8,11,4,13,19,0
39901,5,21,9,17,13,29,41,0
39902,1,3,8,16,12,26,39,0
39903,6,22,8,16,14,27,42,26
39904,5,8,9,11,3,12,18,3
39905,10,17,12,19,11,20,29,7
39906,8,14,9,17,10,20,30,8
39907,10,13,12,21,11,19,25,8
39908,11,14,9,17,7,17,25,6
39909,4,17,8,14,6,17,25,26
39910,9,9,11,18,12,21,45,0
39911,5,9,12,18,10,18,26,7
39912,10,8,7,11,5,14,24,2
39913,9,4,6,6,1,6,11,1
39914,9,4,8,17,11,21,31,7
39915,9,4,11,20,10,19,27,7
39916,6,9,5,8,2,10,16,0
39917,4,7,6,8,2,9,15,1
39918,5,12,9,13,4,14,21,4
39919,11,15,11,12,14,20,45,0
39920,10,8,8,14,7,21,32,6
39921,10,15,12,17,7,17,26,4
39922,13,8,7,12,6,18,29,0
39923,9,6,12,17,8,18,26,6
39924,9,6,5,5,0,5,9,1
39925,9,6,12,12,3,11,17,3
39926,10,6,9,19,8,18,26,6
39927,0,1,4,4,0,4,9,1
39928,14,12,8,18,8,18,26,6
39929,5,14,6,7,2,9,14,1
39930,1,5,11,22,13,22,31,0
39931,9,6,13,18,8,17,26,6
39932,9,6,9,14,5,14,21,4
39933,1,2,10,16,14,28,45,28
39934,15,13,13,17,7,16,23,7
39935,4,13,10,17,9,19,31,6
39936,9,23,5,9,5,15,23,25
39937,6,19,13,23,13,23,30,8
39938,10,8,7,9,3,10,16,2
39939,5,8,4,2,0,2,5,0
39940,4,8,9,17,7,17,24,6
39941,6,9,6,7,1,7,12,2
39942,6,18,5,6,2,9,16,0
39943,5,19,11,17,12,24,35,33
39944,5,8,10,18,9,18,27,6
39945,14,7,6,7,1,7,12,1
39946,5,8,10,18,8,18,28,5
39947,15,11,11,17,8,18,26,3
39948,2,5,5,8,4,14,19,3
39949,8,16,11,21,13,22,31,10
39950,12,16,6,9,4,14,24,0
39951,14,5,10,19,14,31,41,9
39952,14,5,9,22,14,28,37,9
39953,11,16,11,16,6,16,24,5
39954,4,11,8,15,11,24,37,10
39955,4,11,3,3,0,7,14,0
39956,9,14,9,21,9,18,26,6
39957,14,6,10,20,11,20,29,7
39958,14,5,10,18,14,28,41,27
39959,14,5,7,10,4,15,24,0
39960,14,5,9,19,14,29,42,26
39961,2,5,9,14,5,14,20,0
39962,5,14,10,19,10,19,28,7
39963,10,17,8,16,7,17,25,4
39964,15,6,8,16,12,25,37,28
39965,15,6,5,7,3,12,20,0
39966,15,6,5,6,2,10,17,0
39967,10,17,9,14,5,14,22,4
39968,9,17,9,15,5,15,23,5
39969,10,16,12,21,12,20,29,6
39970,15,4,8,18,12,23,37,8
39971,0,1,6,8,2,11,17,1
39972,0,1,5,6,1,7,12,0
39973,1,4,10,17,12,25,32,15
39974,14,5,8,17,14,27,44,10
39975,6,9,9,10,3,11,16,3
39976,6,10,10,15,6,16,24,6
39977,6,10,7,9,2,9,14,3
39978,14,7,12,19,11,18,26,7
39979,4,21,8,17,8,18,26,5
39980,5,24,6,7,2,9,15,1
39981,14,12,8,17,8,18,27,5
39982,10,16,5,7,3,11,19,0
39983,14,6,13,19,11,20,30,6
39984,14,6,12,20,10,19,29,6
39985,10,8,9,14,9,22,32,0
39986,14,9,9,18,10,18,27,7
39987,14,10,11,25,14,21,29,8
39988,0,9,12,22,11,19,27,6
39989,8,22,9,18,9,17,25,8
39990,0,5,8,11,9,26,23,10
39991,2,4,3,1,0,2,5,0
39992,2,4,11,15,6,15,21,0
39993,10,4,10,18,14,29,41,27
39994,2,5,6,10,5,16,26,13
39995,13,4,7,15,10,23,33,24
39996,10,17,13,19,9,19,27,6
39997,6,16,8,15,9,21,34,6
39998,1,10,8,15,10,22,33,6
39999,4,17,9,16,12,26,35,31
40000,5,17,9,17,13,28,40,29
40001,11,14,8,14,9,22,33,26
40002,11,18,7,12,7,20,30,25
40003,6,13,9,20,13,27,35,12
40004,9,15,9,18,8,17,25,7
40005,10,13,9,17,12,21,31,9
40006,14,17,6,7,2,10,17,0
40007,9,6,5,8,2,10,16,2
40008,10,6,4,3,0,3,6,0
40009,4,11,9,13,4,13,20,4
40010,9,9,2,1,0,2,4,0
40011,10,8,13,16,6,16,25,6
40012,0,15,9,11,4,13,20,0
40013,15,14,12,19,11,20,29,7
40014,2,4,10,24,14,12,45,0
40015,9,14,7,8,3,10,16,1
40016,0,12,9,16,6,15,23,5
40017,5,17,12,21,12,20,28,8
40018,10,7,5,7,3,12,20,0
40019,6,9,8,12,4,12,19,3
40020,5,9,13,16,7,16,23,6
40021,6,9,10,13,4,13,20,4
40022,6,10,10,13,4,13,20,4
40023,14,9,10,19,11,20,29,6
40024,14,9,8,17,6,16,24,6
40025,13,8,6,10,5,16,26,0
40026,2,5,9,19,9,19,28,6
40027,9,6,8,13,4,13,20,5
40028,9,6,12,20,11,20,30,4
40029,10,5,9,14,5,14,22,4
40030,8,21,13,20,10,19,27,7
40031,10,11,10,17,7,17,24,5
40032,5,8,7,10,3,10,15,3
40033,5,9,10,20,13,24,35,8
40034,0,1,7,8,2,11,17,0
40035,15,6,4,4,0,7,13,0
40036,6,10,6,7,2,9,14,0
40037,14,9,8,13,4,13,21,3
40038,11,14,7,12,6,18,30,15
40039,1,3,10,22,14,22,29,9
