,alpha_kmeans,delta_kmeans,u_kmeans,g_kmeans,r_kmeans,i_kmeans,z_kmeans,redshift_kmeans
40133,5,7,13,12,11,9,7,3
40134,2,3,7,12,14,13,12,7
40135,0,2,5,8,10,10,9,9
40136,4,1,6,7,7,5,4,2
40137,5,1,4,4,4,3,3,1
40138,0,2,10,17,17,12,9,5
40139,8,1,5,8,10,9,8,8
40140,8,1,4,4,5,4,4,0
40141,8,1,8,11,13,12,9,4
40142,9,1,11,15,16,12,9,0
40143,2,1,8,6,6,6,6,0
40144,3,1,4,5,6,5,4,0
40145,2,2,3,4,5,4,4,1
40146,2,4,6,6,7,6,5,0
40147,2,4,12,14,16,12,9,8
40148,4,3,10,13,11,9,7,3
40149,6,6,9,12,16,15,11,10
40150,3,3,8,9,8,6,5,3
40151,9,4,7,12,16,15,13,8
40152,7,1,10,11,9,7,6,3
40153,0,0,7,6,6,5,4,0
40154,0,0,4,6,7,6,6,0
40155,0,0,1,1,1,1,1,0
40156,3,3,14,12,12,9,7,3
40157,9,4,12,15,15,12,9,3
40158,8,1,8,13,15,14,11,5
40159,9,1,11,15,17,12,9,5
40160,2,9,4,6,7,7,6,0
40161,5,5,10,11,11,8,7,3
40162,5,7,4,5,5,4,3,1
40163,5,1,14,14,12,10,8,3
40164,2,2,5,5,6,5,4,0
40165,3,2,3,4,5,4,3,0
40166,3,2,10,12,11,9,7,3
40167,3,3,8,11,10,8,6,3
40168,2,2,12,17,14,11,9,4
40169,8,1,4,4,4,3,3,0
40170,8,1,3,4,5,5,4,0
40171,8,1,6,6,7,6,5,0
40172,2,6,4,6,8,7,7,7
40173,2,6,3,5,6,5,4,0
40174,1,1,3,6,8,7,6,7
40175,1,1,4,7,8,8,7,5
40176,1,1,2,2,3,3,3,0
40177,1,1,5,5,6,5,4,0
40178,2,3,11,10,9,7,5,3
40179,9,1,11,15,17,15,12,3
40180,2,6,6,4,4,3,2,0
40181,3,8,4,5,6,5,4,1
40182,3,8,3,3,2,2,1,1
40183,2,5,3,6,9,9,9,0
40184,0,3,10,12,13,11,9,4
40185,0,3,4,4,3,2,1,1
40186,7,6,8,10,10,8,6,1
40187,5,1,2,1,1,1,0,0
40188,6,1,4,4,4,3,2,1
40189,6,1,3,4,5,4,4,1
40190,6,1,3,3,4,3,3,0
40191,7,1,2,1,1,1,0,0
40192,4,7,8,10,10,8,6,3
40193,9,1,1,1,2,2,2,0
40194,3,5,7,10,13,11,9,4
40195,3,3,5,5,5,4,3,1
40196,2,2,4,5,6,5,4,2
40197,8,1,10,13,13,10,8,3
40198,0,5,8,13,11,8,6,3
40199,8,1,11,14,16,13,10,5
40200,9,1,11,15,16,16,13,6
40201,3,2,6,6,5,4,3,1
40202,8,4,8,9,11,9,8,0
40203,4,3,11,14,18,15,12,8
40204,5,6,10,12,15,14,11,0
40205,6,4,5,5,4,3,3,1
40206,8,1,12,15,15,11,9,4
40207,1,1,7,11,14,11,10,5
40208,1,1,9,14,14,12,10,4
40209,1,1,9,13,17,14,12,5
40210,7,7,5,5,5,4,3,0
40211,3,5,5,5,5,4,3,0
40212,3,7,7,10,11,8,7,4
40213,8,1,7,10,13,12,10,5
40214,2,7,11,16,16,13,9,5
40215,9,4,10,9,8,6,5,2
40216,7,7,14,13,14,12,10,0
40217,1,1,13,11,10,7,5,0
40218,1,1,0,0,0,0,0,0
40219,3,1,15,13,12,9,7,4
40220,8,1,9,7,6,4,3,0
40221,8,1,5,9,10,10,10,6
40222,8,1,10,13,16,14,13,0
40223,8,1,3,4,5,4,4,0
40224,9,1,8,12,15,15,13,10
40225,8,1,7,9,11,11,10,0
40226,4,7,11,12,12,9,8,4
40227,9,1,7,10,13,12,10,4
40228,9,1,8,12,15,15,12,6
40229,6,5,8,10,10,7,6,2
40230,6,4,12,14,13,10,8,4
40231,6,4,10,11,10,7,6,3
40232,3,7,7,6,5,2,1,0
40233,2,5,13,18,15,12,8,5
40234,0,2,9,10,9,7,6,2
40235,6,8,12,13,15,14,11,7
40236,3,8,15,15,15,12,8,5
40237,2,5,3,4,4,3,2,1
40238,1,1,10,11,10,8,6,3
40239,4,3,14,13,13,9,8,4
40240,2,2,10,12,12,10,7,4
40241,6,6,2,3,4,3,3,0
40242,6,8,9,8,7,5,4,2
40243,6,7,3,2,2,1,1,1
40244,8,1,7,7,6,5,3,1
40245,8,1,14,13,12,9,7,3
40246,0,5,10,12,13,10,8,4
40247,3,2,12,9,10,9,9,0
40248,5,5,4,7,9,8,7,4
40249,5,5,4,8,9,9,8,6
40250,5,5,4,6,9,9,8,0
40251,6,1,8,8,7,6,5,2
40252,4,4,4,6,7,6,6,1
40253,1,1,12,14,13,10,8,3
40254,4,3,8,11,14,13,11,0
40255,9,1,12,17,19,13,13,5
40256,4,9,12,11,14,11,10,0
40257,7,8,10,11,15,14,11,7
40258,1,1,11,17,17,16,13,5
40259,3,4,10,11,12,9,7,5
40260,3,4,7,10,13,13,11,7
40261,2,5,11,12,11,9,7,3
40262,3,5,12,16,15,12,9,4
40263,3,8,7,8,10,9,8,6
40264,5,8,10,8,8,6,5,2
40265,4,2,10,12,16,15,12,0
40266,5,7,11,9,8,7,5,2
40267,6,2,2,1,1,1,0,0
40268,6,2,1,1,2,2,2,0
40269,3,2,13,15,14,10,9,4
40270,0,3,8,16,15,12,9,5
40271,8,2,5,8,10,9,8,4
40272,8,3,9,13,13,10,8,3
40273,1,1,5,7,8,7,6,0
40274,7,4,0,1,2,1,1,0
40275,0,4,10,18,16,13,9,4
40276,6,5,9,11,11,9,7,3
40277,7,5,13,13,12,11,9,2
40278,7,5,11,10,9,7,6,2
40279,0,2,5,8,10,9,8,9
40280,0,2,10,9,8,6,5,2
40281,5,4,12,13,12,10,8,3
40282,6,4,10,9,9,7,5,3
40283,3,8,7,9,12,10,9,9
40284,9,2,11,16,15,12,9,4
40285,8,1,6,8,10,10,9,10
40286,6,7,9,8,9,8,7,0
40287,9,4,8,13,15,14,11,6
40288,9,4,7,10,13,13,10,9
40289,2,4,7,12,11,8,7,3
40290,6,3,4,4,4,3,2,1
40291,8,1,7,7,6,5,4,1
40292,3,3,9,14,14,12,9,2
40293,0,3,11,13,12,9,7,3
40294,9,2,13,10,11,9,7,4
40295,6,7,4,4,4,3,2,1
40296,6,6,13,15,14,12,9,4
40297,0,4,13,13,16,11,6,6
40298,8,2,12,12,12,9,7,4
40299,8,2,15,12,12,9,8,3
40300,8,2,14,11,9,7,5,2
40301,9,2,15,12,11,9,7,3
40302,2,2,13,12,12,9,7,4
40303,9,4,8,11,12,9,8,3
40304,0,1,7,11,16,14,12,9
40305,8,1,6,4,3,2,2,0
40306,6,7,7,10,12,12,10,6
40307,8,2,9,13,10,8,6,3
40308,8,2,13,11,10,8,6,3
40309,0,2,9,12,11,9,7,3
40310,5,8,4,4,4,3,2,0
40311,8,1,11,17,18,16,11,5
40312,9,1,8,14,17,13,13,5
40313,8,1,10,15,15,14,13,5
40314,9,1,14,14,17,14,11,6
40315,9,1,11,15,16,14,12,5
40316,8,2,14,11,13,13,11,0
40317,6,6,13,10,10,8,6,3
40318,2,7,10,12,10,8,6,3
40319,9,4,5,6,5,4,3,1
40320,1,1,2,2,3,3,2,0
40321,7,6,5,8,10,9,9,8
40322,2,6,6,9,12,11,10,8
40323,2,4,3,4,6,5,5,0
40324,2,4,4,7,9,8,7,7
40325,2,4,3,7,10,11,10,0
40326,2,6,1,1,1,1,1,0
40327,2,6,6,5,4,3,3,0
40328,5,2,8,11,15,14,11,9
40329,1,1,5,5,5,4,4,0
40330,1,1,4,5,5,4,3,0
40331,1,1,6,6,7,6,5,0
40332,1,1,6,7,9,8,7,0
40333,1,1,8,10,10,7,5,0
40334,0,3,13,14,15,13,11,4
40335,4,3,9,8,7,6,4,2
40336,3,3,8,10,9,7,5,3
40337,3,3,5,8,11,11,10,2
40338,4,1,10,12,11,9,7,2
40339,3,4,10,14,17,15,11,6
40340,6,6,14,15,13,10,7,4
40341,6,6,9,12,11,8,6,4
40342,4,9,4,3,3,2,1,1
40343,3,8,11,12,11,9,7,3
40344,3,9,12,14,14,11,9,4
40345,4,3,8,7,6,5,3,2
40346,9,2,10,15,14,11,8,2
40347,0,0,3,3,3,2,2,0
40348,1,1,12,15,14,10,8,4
40349,5,8,13,13,13,10,8,4
40350,4,9,7,10,13,12,10,0
40351,5,6,11,13,13,9,7,0
40352,0,2,13,17,15,12,8,5
40353,0,0,5,7,8,8,7,11
40354,0,0,4,5,5,4,4,0
40355,0,0,1,1,1,1,1,0
40356,9,1,5,8,9,9,8,7
40357,9,1,7,11,13,13,11,7
40358,3,2,11,13,15,12,10,4
40359,1,1,10,15,16,15,12,4
40360,3,3,10,12,12,10,7,3
40361,3,3,8,12,15,13,11,5
40362,3,2,4,4,4,3,2,1
40363,3,3,4,4,3,2,2,1
40364,2,2,10,12,12,9,8,3
40365,6,7,13,15,13,11,8,4
40366,3,2,7,9,7,6,5,2
40367,9,1,9,13,15,14,13,5
40368,6,5,13,12,12,9,7,3
40369,6,4,10,13,11,9,7,3
40370,8,1,11,15,15,11,9,3
40371,1,1,3,3,4,3,3,0
40372,4,3,8,9,7,6,4,3
40373,5,8,9,8,7,6,4,2
40374,1,1,1,1,2,1,1,0
40375,7,3,11,16,13,10,8,3
40376,8,3,10,14,13,10,8,3
40377,1,1,7,7,7,6,5,0
40378,1,1,5,7,9,8,7,4
40379,1,1,5,5,5,4,4,0
40380,1,1,0,0,0,0,0,0
40381,3,7,9,10,10,8,6,3
40382,4,1,14,13,13,11,9,4
40383,8,4,8,15,14,11,8,4
40384,2,1,2,2,3,3,2,0
40385,2,6,9,13,15,15,12,5
40386,3,7,9,10,10,7,6,3
40387,5,7,11,14,13,12,9,3
40388,2,2,9,11,11,9,7,3
40389,0,1,7,7,8,8,7,0
40390,0,1,9,13,16,14,11,5
40391,3,5,6,9,12,11,10,6
40392,8,1,10,13,12,9,7,3
40393,3,2,2,2,3,2,2,0
40394,6,1,13,10,9,7,5,2
40395,6,1,10,9,8,6,5,3
40396,6,1,8,11,9,8,6,2
40397,5,6,13,14,16,12,9,0
40398,1,1,9,8,9,7,6,1
40399,1,1,12,13,12,10,8,3
40400,7,7,6,6,6,5,4,1
40401,3,7,9,12,16,15,11,11
40402,6,7,12,14,12,9,7,4
40403,6,7,14,11,11,8,7,3
40404,6,7,8,8,7,5,4,2
40405,6,7,3,6,8,8,6,2
40406,2,3,4,4,4,4,3,0
40407,2,3,3,4,6,6,5,0
40408,3,9,11,11,10,7,5,3
40409,2,8,5,5,4,3,2,1
40410,8,3,9,13,12,10,8,2
40411,8,1,3,5,7,6,5,8
40412,2,6,2,5,6,5,5,7
40413,7,5,4,5,6,4,3,1
40414,7,4,4,3,3,2,2,1
40415,3,5,8,14,16,13,10,5
40416,9,1,14,11,14,12,9,5
40417,6,4,11,13,13,10,8,3
40418,6,4,9,13,11,9,7,3
40419,7,3,12,12,11,8,6,3
40420,9,2,12,10,9,7,5,2
40421,9,4,12,13,13,10,8,3
40422,9,3,9,14,13,10,7,3
40423,1,1,4,6,8,7,7,6
40424,1,1,2,3,4,3,3,0
40425,7,4,3,5,6,5,5,0
40426,5,7,9,14,14,11,8,4
40427,0,1,7,10,14,13,12,7
40428,5,1,8,12,11,8,6,4
40429,2,2,4,5,5,4,3,0
40430,0,2,11,15,14,11,8,3
40431,0,2,10,10,9,7,6,2
40432,2,6,5,8,12,13,12,0
40433,2,6,5,8,10,10,9,4
40434,1,1,0,1,1,1,1,0
40435,4,3,13,14,12,9,7,4
40436,6,6,13,16,13,10,8,0
40437,3,8,10,11,10,8,6,3
40438,1,3,14,11,11,8,6,3
40439,6,7,13,10,9,7,5,3
40440,6,7,8,7,6,5,4,2
40441,9,2,10,14,14,11,8,4
40442,6,6,10,14,13,10,8,4
40443,0,0,2,3,4,4,4,0
40444,9,1,3,4,5,5,4,0
40445,6,6,8,9,7,6,4,2
40446,4,8,0,0,1,1,1,0
40447,6,1,5,6,5,4,3,1
40448,7,1,12,10,9,7,5,2
40449,7,8,6,8,10,9,8,1
40450,3,3,11,14,15,14,12,4
40451,9,4,8,10,11,9,7,4
40452,1,1,4,4,4,3,3,0
40453,8,1,11,13,16,15,13,0
40454,6,1,9,11,15,15,12,0
40455,6,1,8,10,13,12,10,11
40456,8,1,8,15,16,15,13,5
40457,6,4,14,12,11,9,7,3
40458,7,3,8,8,7,5,4,2
40459,8,1,8,11,10,8,6,3
40460,8,2,10,16,17,12,9,5
40461,5,1,12,13,13,10,8,3
40462,9,1,13,11,14,13,10,11
40463,6,5,7,6,5,4,3,2
40464,5,7,10,14,14,11,9,5
40465,3,6,4,4,4,3,2,0
40466,7,5,3,4,5,4,3,1
40467,8,1,9,12,16,12,12,4
40468,1,1,1,2,3,2,2,0
40469,1,1,3,3,3,2,2,0
40470,1,1,2,2,3,2,2,0
40471,0,1,8,14,17,15,12,6
40472,5,1,5,5,5,4,3,1
40473,6,1,2,3,3,2,2,1
40474,8,1,9,7,7,4,2,0
40475,8,1,11,10,10,6,4,0
40476,3,2,10,12,12,9,8,3
40477,7,1,9,13,16,15,12,10
40478,6,6,10,11,11,8,6,4
40479,4,9,5,4,4,3,2,1
40480,1,3,15,14,13,10,8,3
40481,0,3,11,11,10,8,6,3
40482,3,8,6,6,6,4,3,1
40483,3,2,10,13,12,9,8,3
40484,2,2,13,13,12,10,8,0
40485,3,4,10,12,16,13,10,5
40486,3,3,5,8,10,10,8,10
40487,3,3,3,2,2,2,1,0
40488,0,5,10,17,16,12,9,5
40489,0,5,13,17,15,11,8,4
40490,1,1,8,12,15,12,10,4
40491,7,5,9,12,11,8,6,3
40492,7,4,14,13,13,10,8,3
40493,1,4,10,17,16,12,9,4
40494,6,7,9,9,8,7,5,2
40495,3,3,12,9,8,7,5,2
40496,2,9,0,0,0,0,0,0
40497,2,8,12,12,11,9,8,3
40498,3,4,5,5,5,4,3,1
40499,3,2,4,3,3,2,1,1
40500,3,3,12,12,13,13,12,6
40501,6,5,7,8,10,9,9,0
40502,9,1,5,9,11,10,9,7
40503,6,6,13,14,13,10,8,3
40504,6,6,2,2,3,2,2,0
40505,6,6,4,4,4,3,2,1
40506,9,3,14,18,14,11,8,4
40507,2,2,13,10,9,7,5,2
40508,8,1,6,9,12,11,9,8
40509,5,5,6,6,5,4,3,1
40510,7,5,9,11,9,7,5,3
40511,1,1,5,8,10,9,8,3
40512,1,1,5,5,6,5,4,0
40513,1,1,1,0,1,1,0,0
40514,1,1,9,16,16,15,11,6
40515,0,3,15,12,11,9,7,3
40516,8,1,10,13,12,9,7,3
40517,8,1,7,7,6,4,3,2
40518,8,1,13,8,7,5,4,2
40519,8,2,3,3,3,2,2,0
40520,3,1,0,0,3,0,0,0
40521,3,5,13,15,14,11,8,4
40522,5,7,15,17,16,13,9,5
40523,0,1,9,12,15,14,10,10
40524,6,5,10,11,10,9,6,3
40525,6,5,11,11,10,8,7,3
40526,1,4,5,5,6,5,4,0
40527,4,4,6,6,5,4,3,1
40528,8,4,11,12,16,13,11,0
40529,2,3,12,15,14,10,8,4
40530,6,6,10,16,17,13,9,0
40531,3,1,4,6,8,7,6,11
40532,2,2,13,11,10,7,6,0
40533,2,2,6,8,7,5,4,1
40534,4,3,10,7,6,5,4,2
40535,2,6,5,6,7,6,6,0
40536,7,6,7,6,5,4,3,1
40537,7,4,8,8,7,6,4,2
40538,9,1,15,9,8,6,5,2
40539,8,1,8,7,6,5,4,1
40540,8,1,14,10,9,7,6,2
40541,2,6,9,10,12,12,10,11
40542,6,2,6,6,5,4,3,1
40543,7,2,4,4,5,4,3,0
40544,1,4,2,2,3,2,2,0
40545,1,5,4,4,5,5,4,0
40546,9,4,9,12,12,10,8,4
40547,5,9,10,13,12,9,7,4
40548,8,0,14,15,15,11,9,5
40549,0,2,9,10,11,9,7,2
40550,7,5,7,10,13,13,10,5
40551,7,6,10,12,13,8,6,0
40552,7,5,4,6,8,8,7,11
40553,9,2,0,0,1,1,1,0
40554,1,1,12,14,13,10,8,4
40555,8,1,11,11,14,13,11,0
40556,0,2,9,13,12,9,7,4
40557,7,4,15,10,9,7,6,2
40558,0,4,15,15,16,12,9,5
40559,3,2,3,2,2,1,1,0
40560,5,5,7,9,12,12,10,10
40561,5,5,6,9,11,11,10,6
40562,5,5,8,10,12,12,10,0
40563,5,5,8,11,14,13,11,8
40564,6,1,14,9,8,6,5,3
40565,6,1,5,6,6,4,3,2
40566,1,0,8,9,8,7,5,2
40567,0,0,3,4,5,4,3,1
40568,6,4,14,11,9,7,6,2
40569,7,5,11,12,11,9,7,3
40570,2,2,5,5,5,4,3,1
40571,2,3,6,7,7,7,5,0
40572,3,6,9,14,14,11,8,5
40573,0,4,12,13,12,9,7,4
40574,5,7,4,6,7,7,6,0
40575,5,3,2,4,6,5,5,8
40576,6,2,8,10,9,7,5,2
40577,2,2,11,14,12,10,8,3
40578,2,2,6,6,6,5,3,1
40579,3,3,5,5,5,4,3,1
40580,9,2,9,12,15,13,11,8
40581,3,2,12,15,18,15,12,5
40582,9,1,9,15,18,14,12,5
40583,8,1,10,14,17,14,12,5
40584,0,0,6,7,8,8,7,0
40585,9,1,7,10,13,13,10,0
40586,9,1,6,9,11,11,10,6
40587,9,1,8,12,14,14,11,2
40588,9,1,7,11,14,13,11,7
40589,6,6,12,11,9,8,6,2
40590,3,1,2,2,2,2,2,0
40591,6,2,3,4,5,4,3,0
40592,3,7,8,12,15,14,11,6
40593,3,7,11,13,14,12,10,4
40594,3,3,4,5,5,4,3,1
40595,3,2,3,4,4,3,3,1
40596,8,6,2,1,1,1,1,0
40597,8,1,8,11,13,14,10,8
40598,9,2,12,15,16,12,10,4
40599,0,2,7,11,11,9,7,4
40600,2,6,9,11,14,12,10,8
40601,2,6,6,8,10,9,8,5
40602,8,2,6,8,9,9,8,4
40603,7,4,1,2,3,2,2,0
40604,2,3,9,12,16,15,11,10
40605,6,6,12,13,15,12,9,5
40606,6,7,13,13,13,8,5,0
40607,1,2,7,5,5,4,3,0
40608,3,3,10,12,15,12,10,4
40609,3,3,11,12,13,10,8,4
40610,0,3,10,13,14,12,10,3
40611,3,3,14,10,9,7,6,2
40612,2,5,10,9,9,6,6,0
40613,1,1,0,0,0,0,0,0
40614,1,1,13,12,11,7,5,0
40615,7,4,3,4,5,4,4,0
40616,5,8,5,5,5,4,3,1
40617,8,1,5,8,10,10,9,7
40618,8,1,14,12,13,12,10,0
40619,8,1,13,13,15,13,11,0
40620,8,1,5,5,5,5,4,0
40621,2,5,9,11,11,9,8,3
40622,6,4,8,12,12,10,8,3
40623,7,4,12,14,13,10,8,3
40624,7,3,13,13,12,9,7,3
40625,0,2,7,9,12,11,9,10
40626,0,2,6,9,11,11,10,6
40627,0,2,7,11,15,13,12,9
40628,0,2,5,8,9,9,8,7
40629,3,2,11,15,14,10,9,3
40630,1,1,6,9,11,11,9,5
40631,1,1,5,5,4,3,3,0
40632,1,1,11,12,12,8,6,0
40633,3,7,9,11,11,9,7,3
40634,9,1,8,14,15,12,8,5
40635,1,2,7,11,10,8,6,3
40636,9,1,8,12,16,14,11,9
40637,9,4,6,8,9,9,8,0
40638,6,7,10,14,15,12,9,4
40639,0,1,9,14,16,15,12,8
40640,2,1,5,7,8,7,7,0
40641,2,5,3,4,5,4,4,1
40642,7,5,9,13,12,9,7,3
40643,0,2,5,8,10,10,8,4
40644,0,2,7,11,14,13,11,5
40645,1,1,10,15,16,14,12,5
40646,0,1,8,14,17,16,12,5
40647,0,1,11,13,17,14,13,5
40648,3,8,7,10,13,13,10,11
40649,1,1,9,11,11,7,5,0
40650,1,1,2,4,5,4,3,0
40651,6,6,9,15,13,10,7,4
40652,1,5,3,4,5,4,3,0
40653,8,1,13,14,13,10,8,3
40654,9,4,15,15,14,10,7,5
40655,3,5,9,15,15,12,10,5
40656,3,3,3,6,8,8,7,9
40657,8,1,7,11,14,13,12,6
40658,2,4,6,9,11,11,10,7
40659,2,2,5,5,5,4,3,1
40660,6,7,5,5,5,4,3,1
40661,6,7,12,15,13,11,8,4
40662,9,4,6,8,11,11,9,4
40663,9,4,14,8,7,5,4,2
40664,8,1,12,13,13,10,8,5
40665,0,5,9,13,13,10,8,3
40666,3,3,10,14,15,16,13,4
40667,5,3,6,8,11,11,9,11
40668,5,3,3,5,6,6,5,0
40669,5,3,5,9,11,11,9,8
40670,6,2,11,9,8,6,4,0
40671,6,8,7,11,13,13,11,6
40672,8,1,6,9,12,11,9,5
40673,8,1,10,14,16,15,13,6
40674,9,1,8,13,16,15,12,9
40675,9,1,9,11,13,12,10,0
40676,5,5,11,12,11,9,7,3
40677,9,4,9,16,15,12,9,3
40678,6,7,13,12,12,9,7,4
40679,6,2,1,1,2,2,1,0
40680,5,1,13,14,13,9,7,4
40681,0,3,13,14,15,13,10,3
40682,6,4,4,4,3,2,2,1
40683,6,4,12,15,12,9,7,3
40684,6,5,4,5,5,5,4,1
40685,3,7,9,11,15,14,12,11
40686,2,2,9,9,9,7,5,0
40687,3,2,6,5,5,4,3,1
40688,9,4,14,11,10,8,6,2
40689,1,1,1,2,2,2,2,0
40690,1,1,4,5,7,6,5,0
40691,0,2,6,6,6,4,3,2
40692,0,0,10,11,13,11,9,1
40693,5,8,12,16,15,11,9,5
40694,1,1,6,9,11,11,9,10
40695,1,1,6,8,10,10,8,10
40696,8,3,14,9,8,6,5,2
40697,9,4,8,11,13,12,10,0
40698,6,8,10,12,14,13,10,10
40699,6,5,6,9,12,12,10,6
40700,3,8,12,10,11,9,8,4
40701,6,5,9,13,14,10,8,3
40702,6,5,10,11,10,8,7,3
40703,4,7,13,16,15,12,9,4
40704,1,1,8,11,15,13,11,8
40705,9,1,7,11,15,14,11,8
40706,5,1,0,0,1,1,0,0
40707,6,1,4,3,3,2,1,1
40708,3,4,9,12,13,9,7,4
40709,9,1,13,15,17,15,12,5
40710,6,6,12,10,10,8,6,3
40711,6,7,6,5,6,4,3,1
40712,6,7,2,1,1,1,0,0
40713,9,1,8,13,16,14,12,9
40714,9,2,9,10,9,8,7,2
40715,8,4,12,17,17,14,7,0
40716,8,4,11,16,16,13,6,0
40717,8,1,12,10,10,8,6,0
40718,8,1,9,10,11,10,9,0
40719,9,1,5,6,8,7,6,0
40720,1,1,1,1,0,0,0,0
40721,3,1,1,0,0,0,0,0
40722,3,5,13,13,12,9,7,3
40723,3,5,9,10,9,7,6,3
40724,5,2,9,12,11,9,7,3
40725,8,2,14,12,11,8,7,3
40726,9,4,15,12,11,9,7,3
40727,1,1,1,0,0,0,0,0
40728,2,2,9,12,12,10,8,3
40729,3,8,5,4,4,3,2,0
40730,5,7,4,4,4,3,3,1
40731,2,7,14,17,17,12,9,0
40732,3,7,9,13,14,12,9,2
40733,5,7,8,7,6,5,4,1
40734,4,9,10,10,10,7,5,0
40735,2,7,11,12,13,10,7,0
40736,9,4,9,10,9,7,5,2
40737,8,4,15,10,8,7,5,3
40738,9,1,6,10,12,9,7,5
40739,6,6,15,12,14,11,8,5
40740,8,2,14,12,11,8,7,3
40741,5,8,11,14,13,10,8,3
40742,5,8,8,11,10,8,6,3
40743,1,1,3,3,4,3,3,0
40744,0,1,15,17,17,12,9,4
40745,3,8,11,11,12,12,10,0
40746,3,6,9,12,16,15,12,4
40747,2,5,2,3,4,4,4,0
40748,7,3,10,14,13,10,8,4
40749,6,4,12,8,7,6,4,2
40750,8,1,10,12,12,9,7,3
40751,8,1,13,14,13,10,8,3
40752,4,1,8,10,10,7,5,0
40753,4,1,4,4,4,3,2,1
40754,6,6,10,17,17,13,9,5
40755,5,1,13,10,10,7,6,3
40756,3,3,9,14,17,15,13,5
40757,4,3,6,8,9,7,6,4
40758,9,4,9,12,16,15,12,0
40759,8,4,12,17,18,15,7,0
40760,8,4,12,16,18,14,6,0
40761,0,1,8,10,14,14,11,0
40762,3,5,6,8,10,10,10,0
40763,2,4,4,5,7,7,6,0
40764,0,5,10,12,11,8,7,3
40765,3,4,9,13,16,13,10,5
40766,5,3,6,9,11,11,10,0
40767,6,9,3,4,5,5,4,0
40768,5,9,3,3,4,3,3,0
40769,6,1,14,14,11,9,7,4
40770,8,1,1,2,3,2,2,0
40771,8,1,8,8,9,8,7,0
40772,8,1,11,12,14,13,11,0
40773,8,1,12,14,15,14,11,3
40774,9,1,13,15,16,13,12,5
40775,4,7,4,5,6,5,4,0
40776,0,0,13,13,15,12,10,4
40777,7,5,5,5,5,4,3,1
40778,0,4,5,8,9,9,8,7
40779,7,7,7,6,6,5,4,1
40780,2,4,2,5,6,6,5,7
40781,7,3,13,11,9,7,5,2
40782,6,4,12,12,12,9,8,4
40783,6,4,10,12,11,8,6,4
40784,8,1,10,16,15,12,9,4
40785,9,1,10,12,12,10,8,3
40786,6,3,11,17,17,15,13,0
40787,2,3,8,9,11,11,9,0
40788,8,3,9,11,11,9,7,3
40789,3,7,7,10,13,12,11,9
40790,3,2,6,7,6,5,4,2
40791,8,4,5,9,11,11,10,6
40792,9,3,11,14,14,11,8,4
40793,2,4,9,10,13,12,10,0
40794,1,1,5,4,3,3,2,0
40795,3,1,4,4,4,4,3,0
40796,3,2,9,12,11,9,6,3
40797,8,2,11,11,18,16,12,8
40798,1,1,10,8,8,6,5,0
40799,4,9,11,13,11,9,7,3
40800,3,3,9,11,11,10,8,3
40801,8,1,8,11,15,14,12,11
40802,8,1,6,6,7,6,5,0
40803,1,1,3,2,2,2,1,0
40804,1,1,6,8,10,10,9,6
40805,8,3,4,4,3,2,1,1
40806,9,2,12,14,13,10,7,4
40807,2,3,12,17,16,12,10,4
40808,5,7,13,15,14,11,8,4
40809,3,8,15,13,12,9,7,3
40810,3,8,13,14,12,9,7,3
40811,6,6,14,16,15,12,9,5
40812,5,1,5,5,4,3,2,1
40813,6,1,3,2,2,1,1,1
40814,6,1,3,2,1,1,0,1
40815,6,1,4,3,3,2,1,1
40816,5,1,1,1,1,0,0,1
40817,5,1,10,10,9,7,6,2
40818,2,2,12,10,9,7,6,2
40819,5,3,6,9,11,12,10,5
40820,7,3,8,8,8,7,6,0
40821,7,3,8,9,11,11,10,0
40822,6,8,6,10,13,13,11,6
40823,8,1,6,8,10,10,8,4
40824,2,6,1,3,5,5,5,0
40825,6,6,10,12,12,10,8,3
40826,0,0,9,15,16,12,9,4
40827,0,0,11,14,17,14,12,5
40828,8,1,7,11,14,13,10,5
40829,8,1,8,15,16,13,10,6
40830,6,2,1,2,3,3,3,0
40831,6,2,7,9,12,12,10,4
40832,6,1,14,13,13,10,9,3
40833,9,4,9,13,17,14,12,5
40834,8,3,3,4,6,5,4,0
40835,9,3,4,6,7,6,4,2
40836,0,0,3,5,7,6,5,0
40837,6,6,12,13,12,10,8,3
40838,6,7,2,1,2,2,1,0
40839,8,2,9,14,13,9,7,4
40840,7,7,8,11,15,15,11,10
40841,0,2,10,15,16,13,9,4
40842,6,5,10,15,15,12,9,5
40843,8,3,15,16,14,11,8,4
40844,1,1,1,2,3,2,2,0
40845,4,5,6,7,6,4,3,2
40846,4,5,4,4,5,4,3,1
40847,7,5,8,13,12,10,8,4
40848,7,5,5,5,5,4,3,1
40849,0,2,2,4,5,4,4,0
40850,8,2,12,10,10,10,9,0
40851,3,3,9,12,15,12,12,5
40852,6,1,11,14,13,10,8,4
40853,3,2,8,7,6,5,3,1
40854,9,4,6,10,13,13,10,8
40855,0,3,6,6,5,4,3,1
40856,0,3,10,11,10,8,6,3
40857,0,3,12,15,16,12,9,4
40858,5,7,13,17,16,13,9,4
40859,4,3,10,9,8,6,4,2
40860,9,2,8,9,8,6,5,2
40861,8,1,5,5,4,3,2,1
40862,0,2,10,13,12,10,8,4
40863,2,6,11,18,15,11,8,5
40864,1,4,4,5,7,6,5,0
40865,1,5,4,5,6,5,4,0
